,ID,Marking,Finishing,Aggression,GKPositioning,BallControl,SprintSpeed,GKDiving,Jumping,Penalties,Stamina,StandingTackle,Agility,HeadingAccuracy,Reactions,LongPassing,Strength,ShotPower,Vision,GKHandling,Age,Dribbling,Name,Volleys,LongShots,Positioning,SlidingTackle,Interceptions,Acceleration,Balance,ShortPassing,Composure,Crossing,GKKicking,Overall,GKReflexes,Curve
0,20801,22,93,63,14,93,92,7,95,85,92,31,90,85,96,77,80,92,85,11,32,92,Cristiano Ronaldo,88,90,94,23,29,91,63,83,86,84,15,94,11,81
1,158023,13,95,48,14,95,87,6,68,74,74,28,90,71,95,87,59,85,90,11,29,97,Lionel Messi,85,88,93,26,22,92,95,88,94,77,15,93,8,89
3,176580,30,94,78,33,91,77,27,69,85,89,45,86,77,93,64,76,87,84,25,30,86,Luis Suárez,88,86,92,38,41,88,60,83,83,77,31,92,37,86
4,167495,10,13,29,91,48,61,89,78,47,44,10,52,25,85,59,83,25,70,90,31,30,Manuel Neuer,11,16,12,11,30,58,35,55,70,15,95,92,89,14
5,193080,13,13,38,86,31,56,88,67,40,25,21,57,21,88,32,64,31,68,85,26,13,De Gea,13,12,12,13,30,56,43,31,60,17,87,90,90,21
6,188545,25,91,80,8,87,82,15,84,81,79,42,78,85,88,65,84,86,78,6,28,85,Robert Lewandowski,86,82,89,19,39,79,79,83,87,62,12,90,10,77
7,173731,51,87,65,5,88,95,15,85,76,78,55,77,86,87,80,80,91,79,15,27,89,Gareth Bale,76,90,86,52,59,93,65,86,85,87,11,90,6,86
8,41236,15,90,84,9,90,74,13,72,91,75,41,86,80,85,76,93,93,83,15,35,87,Zlatan Ibrahimović,93,88,86,27,20,69,41,84,91,76,10,90,12,82
9,192119,11,14,23,86,23,52,84,68,27,38,18,61,13,81,31,70,36,44,91,24,13,Thibaut Courtois,12,17,13,16,15,46,45,32,52,14,69,89,89,19
10,183907,90,34,82,6,72,81,7,75,46,75,92,58,86,84,80,91,79,76,12,28,67,Jérôme Boateng,53,58,47,91,84,74,54,75,86,69,15,89,5,56
11,183277,25,81,54,8,91,87,11,59,86,77,27,92,57,85,80,65,79,86,12,26,93,Eden Hazard,79,82,85,22,41,93,90,84,86,80,6,89,8,82
12,177003,66,71,62,14,92,71,13,67,80,83,80,93,55,88,83,58,73,90,9,31,86,Luka Modrić,74,82,79,73,76,77,94,92,76,78,7,89,9,79
13,176635,22,75,48,6,90,68,6,52,67,68,16,84,54,87,84,56,70,93,14,28,86,Mesut Özil,77,76,84,19,24,77,70,89,73,82,10,89,14,84
14,167664,12,92,50,5,85,81,5,77,70,73,22,75,80,86,59,85,86,70,12,29,84,Gonzalo Higuaín,88,80,92,18,20,79,69,73,84,68,7,89,10,74
15,164240,90,38,77,9,80,76,9,93,71,74,91,75,82,84,81,81,78,74,12,32,68,Thiago Silva,63,71,59,89,91,72,68,79,80,60,5,89,10,61
16,155862,85,60,84,7,83,78,11,92,68,84,89,80,90,82,70,81,79,63,8,31,61,Sergio Ramos,66,55,52,90,88,77,60,76,76,66,9,89,11,73
17,153079,13,90,57,11,89,86,13,80,80,74,20,86,68,88,63,73,87,83,15,28,89,Sergio Agüero,85,84,91,12,24,92,90,79,90,70,6,89,14,82
18,195864,68,71,72,4,90,79,5,85,76,91,75,79,73,86,87,91,90,86,6,24,89,Paul Pogba,84,88,84,76,70,75,61,85,83,78,2,88,3,82
19,194765,23,88,69,13,86,86,14,87,71,75,22,90,80,90,75,61,81,76,8,26,87,Antoine Griezmann,87,82,91,11,35,87,80,79,81,82,14,88,14,84
20,192985,30,83,68,10,86,78,15,65,77,85,39,78,53,88,82,73,85,88,13,25,85,Kevin De Bruyne,82,86,84,40,52,76,75,89,84,90,5,88,13,81
21,188350,30,84,49,13,85,91,12,72,84,73,36,87,51,87,79,67,87,86,12,27,86,Marco Reus,88,85,87,46,50,89,82,86,82,83,13,88,11,90
22,184941,30,85,80,12,86,84,10,85,77,85,39,90,70,87,73,72,84,82,10,28,89,Alexis Sánchez,83,81,86,35,42,88,87,80,82,80,15,88,13,78
23,182521,63,75,60,7,85,37,10,34,73,78,75,70,54,85,93,74,87,88,11,27,78,Toni Kroos,82,88,76,65,77,55,62,89,85,85,13,88,10,85
24,182493,87,42,86,5,76,67,6,89,50,69,86,63,92,85,70,80,67,52,8,31,53,Diego Godín,47,43,48,89,88,62,58,79,80,55,15,88,15,49
25,178603,85,55,66,5,77,65,15,68,68,66,92,64,90,85,82,85,71,79,6,28,68,Mats Hummels,60,51,56,87,89,62,58,78,91,64,10,88,6,65
26,167948,12,10,31,82,34,63,87,74,40,41,10,55,10,84,31,43,23,30,87,30,10,Hugo Lloris,11,14,10,18,27,65,54,27,64,13,68,88,90,11
27,138956,92,33,90,4,55,79,3,89,50,69,92,59,80,78,59,91,78,50,3,32,56,Giorgio Chiellini,45,49,28,90,88,69,65,55,78,58,2,88,3,60
29,120533,88,46,94,9,62,75,8,76,57,64,87,63,82,84,61,84,63,48,15,34,58,Pepe,23,56,40,89,88,65,49,70,68,46,5,88,10,44
30,48940,11,12,17,85,22,50,83,51,23,32,13,49,19,86,33,65,21,53,90,34,12,Petr Čech,17,11,13,12,23,42,34,35,70,19,77,88,85,13
31,1179,10,15,38,90,28,43,87,75,22,39,11,55,13,80,35,69,39,50,88,39,26,Gianluigi Buffon,17,13,12,11,28,49,49,37,80,13,68,88,84,20
32,41,57,73,58,13,93,73,6,54,71,64,57,82,54,88,86,59,65,94,13,32,90,Iniesta,74,74,85,56,68,74,86,92,88,79,6,88,7,80
33,200389,14,11,34,87,16,60,83,76,11,41,12,67,15,84,26,78,22,55,90,24,12,Jan Oblak,13,12,11,18,19,43,49,29,55,13,77,87,82,13
35,188567,28,88,45,9,82,96,6,77,82,79,25,80,79,87,64,77,81,77,9,27,82,Pierre-Emerick Aubameyang,86,79,89,36,48,95,69,77,79,77,15,87,9,78
36,184344,84,37,82,2,75,75,2,85,70,73,88,61,84,84,83,85,74,74,2,29,68,Leonardo Bonucci,55,65,38,88,90,65,55,75,82,44,3,87,4,56
37,181872,76,77,91,2,83,74,4,82,84,93,89,75,81,89,82,79,84,80,2,29,76,Arturo Vidal,78,85,80,84,89,77,77,84,86,76,4,87,4,76
38,168651,52,83,67,5,87,65,14,51,78,76,65,71,58,79,92,63,84,87,11,29,84,Ivan Rakitić,80,88,80,53,69,67,66,87,81,81,12,87,9,88
39,168542,23,70,51,1,90,65,1,66,77,68,42,92,54,84,78,56,71,92,1,31,85,David Silva,80,74,81,29,41,72,88,91,92,85,1,87,1,83
40,162835,17,10,25,86,24,57,86,78,23,41,10,42,10,83,34,71,22,41,89,32,18,Samir Handanovič,12,19,12,13,22,54,36,36,72,12,69,87,86,12
41,152729,86,64,72,15,78,73,10,74,69,69,87,58,83,84,80,83,62,62,11,30,59,Piqué,57,51,58,86,88,56,44,81,76,57,14,87,8,58
42,9014,29,84,47,5,89,86,10,61,80,68,26,89,51,87,71,65,86,83,8,33,91,Arjen Robben,86,88,85,26,39,87,91,84,86,80,11,87,15,86
43,211110,14,88,48,5,91,86,5,75,84,81,20,91,68,85,67,65,82,82,4,23,91,Paulo Dybala,88,88,85,20,24,91,85,83,82,78,4,86,8,88
44,199556,76,52,89,15,87,64,12,64,64,77,82,87,55,87,87,56,66,86,12,24,88,Marco Verratti,64,58,71,79,83,72,94,90,91,72,15,86,10,73
45,197445,81,63,69,15,83,86,5,82,80,87,83,82,75,84,80,69,83,78,7,24,79,David Alaba,68,83,77,83,85,86,77,83,79,82,14,86,9,78
46,192883,49,77,69,5,89,84,5,72,72,85,53,88,53,83,73,63,87,85,11,28,87,Henrikh Mkhitaryan,81,75,83,55,68,86,83,85,67,80,14,86,7,83
47,192563,8,9,28,85,22,52,85,73,23,43,15,52,13,81,33,68,23,53,86,25,16,Bernd Leno,10,14,7,18,22,46,44,37,62,9,76,86,83,9
49,189511,81,60,85,9,80,33,5,66,60,88,85,58,68,82,79,77,61,84,8,28,74,Sergio Busquets,44,54,77,80,86,53,55,88,82,62,13,86,13,66
50,189509,49,69,57,9,91,68,6,75,75,74,64,90,58,84,86,59,75,85,11,25,90,Thiago,90,82,83,62,74,77,85,90,81,72,7,86,13,83
51,189332,81,73,75,6,84,93,13,81,59,90,84,90,63,82,70,66,64,68,15,28,80,Jordi Alba,60,66,77,83,83,93,86,79,75,83,13,86,13,77
52,189242,24,73,55,14,88,77,12,59,64,79,44,91,47,81,78,61,79,87,7,24,88,Coutinho,75,85,83,40,30,89,91,85,79,77,9,86,6,84
54,179844,28,89,93,8,83,78,11,64,76,85,39,58,82,85,52,91,84,74,13,28,79,Diego Costa,82,72,88,34,40,76,52,67,84,65,12,86,11,62
55,179813,24,85,82,13,80,79,12,88,84,90,45,82,88,85,50,74,85,77,5,30,80,Edinson Cavani,84,78,89,27,48,76,59,75,81,70,13,86,10,75
