,Volleys,SlidingTackle,Reactions,Strength,Vision,GKDiving,Aggression,ShortPassing,GKHandling,GKKicking,Stamina,Curve,Dribbling,LongShots,Agility,StandingTackle,Balance,Marking,BallControl,Composure,LongPassing,SprintSpeed,Name,HeadingAccuracy,Penalties,Overall,Jumping,Finishing,Positioning,Crossing,Interceptions,GKPositioning,Acceleration,GKReflexes,Age,ShotPower
0,88,23,96,80,85,7,63,83,11,15,92,81,91,92,89,31,63,22,93,95,77,91,Cristiano Ronaldo,88,85,94,95,94,95,85,29,14,89,11,32,94
1,85,26,95,59,90,6,48,88,11,15,73,89,97,88,90,28,95,13,95,96,87,87,L. Messi,71,74,93,68,95,93,77,22,14,92,8,30,85
2,83,33,88,53,80,9,56,81,9,15,78,81,96,77,96,24,82,21,95,92,75,90,Neymar,62,81,92,61,89,90,75,36,15,94,11,25,80
3,88,38,93,80,84,27,78,83,25,31,89,86,86,86,86,45,60,30,91,83,64,77,L. Suárez,77,85,92,69,94,92,77,41,33,88,37,30,87
4,11,11,85,83,70,91,29,55,90,95,44,14,30,16,52,10,35,10,48,70,59,61,M. Neuer,25,47,92,78,13,12,15,30,91,58,89,31,25
5,87,19,91,84,78,15,80,83,6,12,79,77,85,83,78,42,80,25,89,87,65,83,R. Lewandowski,85,81,91,84,91,91,62,39,8,79,10,28,88
6,13,13,88,64,68,90,38,50,85,87,40,21,18,12,60,21,43,13,42,64,51,58,De Gea,21,40,90,67,13,12,17,30,86,57,90,26,31
7,79,22,85,65,86,11,54,86,12,6,79,82,93,82,93,27,91,25,92,87,81,87,E. Hazard,57,86,90,59,83,85,80,41,8,93,8,26,79
8,82,69,86,74,88,10,60,90,11,13,77,85,79,90,71,82,69,63,89,85,93,52,T. Kroos,54,73,90,32,76,79,85,85,7,60,10,27,87
9,88,18,88,85,70,5,50,75,12,7,72,74,84,82,75,22,69,12,85,86,59,80,G. Higuaín,86,70,90,79,91,92,68,20,5,78,10,29,88
10,66,91,85,81,63,11,84,78,8,9,84,73,61,55,79,89,60,86,84,80,72,77,Sergio Ramos,91,68,90,93,60,52,66,88,7,75,11,31,79
11,82,40,88,73,90,15,68,90,13,5,87,83,85,86,80,51,75,30,87,84,84,75,K. De Bruyne,53,77,89,65,83,84,90,56,10,76,13,26,85
12,12,16,81,70,44,85,23,32,91,69,38,19,13,17,61,18,45,11,23,52,31,52,T. Courtois,13,27,89,68,14,13,14,15,86,46,88,25,36
13,83,35,87,72,83,10,80,81,10,15,85,78,90,82,90,39,87,30,87,86,73,84,A. Sánchez,70,77,89,85,85,86,80,42,12,88,13,28,84
14,74,73,88,58,90,13,62,92,9,7,82,79,86,82,93,80,94,66,92,84,83,71,L. Modrić,55,80,89,67,71,79,78,76,14,75,9,31,73
15,76,52,87,80,79,15,65,86,15,11,76,86,89,90,77,55,65,51,87,85,80,95,G. Bale,86,76,89,85,87,86,87,59,5,93,6,27,91
16,85,12,89,74,83,13,63,79,15,6,74,82,89,83,86,20,91,13,89,90,63,84,S. Agüero,68,83,89,80,90,91,70,24,11,90,14,29,88
17,45,90,82,91,50,3,92,59,3,2,68,60,58,49,59,92,64,92,57,82,59,78,G. Chiellini,84,50,89,89,33,28,58,88,4,68,3,32,78
18,17,11,80,69,50,89,38,37,88,74,39,20,26,13,55,11,49,10,28,70,35,43,G. Buffon,13,22,89,75,15,12,13,28,90,49,84,39,39
19,88,20,84,65,84,5,48,83,4,4,83,88,92,88,91,20,85,14,93,84,71,84,P. Dybala,68,86,88,75,85,84,80,24,5,88,8,23,82
20,13,18,84,78,55,84,34,29,90,77,41,13,12,12,67,12,49,14,16,55,26,60,J. Oblak,15,11,88,76,11,11,13,19,87,43,84,24,22
21,87,11,90,61,76,14,69,79,8,14,76,84,87,82,90,22,80,23,86,86,75,86,A. Griezmann,80,71,88,87,88,91,82,35,13,87,14,26,81
22,90,62,84,59,86,6,57,91,11,7,75,85,90,82,90,64,86,49,92,83,90,68,Thiago,58,75,88,75,69,83,72,78,9,77,13,26,75
23,86,36,87,77,77,6,43,77,9,15,79,78,82,79,77,25,70,28,82,84,64,96,P. Aubameyang,79,79,88,77,88,89,77,48,9,95,9,28,81
24,58,88,86,85,74,2,82,79,2,3,73,56,69,65,60,88,52,84,75,84,85,72,L. Bonucci,88,70,88,85,39,38,44,90,2,62,4,30,74
25,53,90,82,91,76,7,82,75,12,15,74,56,67,58,58,91,53,88,71,86,80,78,J. Boateng,85,46,88,75,34,47,69,83,6,72,5,28,79
26,47,89,85,80,52,6,86,79,8,15,67,49,53,43,63,86,58,87,76,82,70,67,D. Godín,92,50,88,89,42,48,55,88,5,62,15,31,67
27,60,90,85,85,79,15,66,80,6,10,66,65,68,51,64,92,58,85,77,91,85,65,M. Hummels,89,68,88,68,55,56,64,89,5,62,6,28,71
28,77,19,87,57,92,6,48,89,14,10,69,84,86,76,83,16,70,22,90,78,84,68,M. Özil,54,67,88,52,74,83,82,24,6,75,14,28,70
29,11,18,85,43,30,88,31,50,86,68,41,11,10,14,55,10,54,12,34,61,50,63,H. Lloris,10,40,88,74,10,10,13,27,82,65,90,30,23
30,63,88,84,81,74,9,77,79,12,5,74,61,68,71,74,89,68,90,80,83,81,74,Thiago Silva,82,71,88,93,38,59,60,89,9,70,10,32,74
31,90,27,86,88,83,13,84,84,15,10,71,82,82,85,81,41,41,15,88,91,76,67,Z. Ibrahimović,80,91,88,69,87,86,76,20,9,63,12,35,91
32,86,26,87,67,83,10,47,84,8,11,68,87,92,88,89,26,91,29,89,86,71,86,A. Robben,51,80,88,61,85,85,80,39,5,87,15,33,87
33,56,85,87,77,76,15,90,84,12,10,94,49,77,66,83,89,90,75,79,84,79,80,N. Kanté,54,54,87,79,65,71,67,91,7,82,10,26,72
34,64,79,87,56,88,12,89,90,12,15,77,73,90,58,87,84,94,76,88,91,89,62,M. Verratti,55,64,87,64,58,71,72,86,15,69,10,24,56
35,85,66,84,91,86,5,75,86,6,2,91,84,86,82,76,68,61,66,89,85,88,76,P. Pogba,73,76,87,85,71,83,78,68,4,72,3,24,90
36,74,22,83,57,90,9,44,89,14,7,90,85,84,84,78,56,82,38,87,87,86,74,C. Eriksen,52,67,87,57,76,81,86,55,7,77,6,25,80
37,78,85,89,77,80,4,93,84,2,4,91,76,76,85,75,89,77,76,83,86,82,74,A. Vidal,81,81,87,82,77,80,76,85,2,76,4,30,86
38,84,27,91,74,77,12,84,78,5,13,92,75,80,78,81,45,59,24,80,83,50,78,E. Cavani,88,84,87,88,83,92,70,48,13,75,10,30,85
39,54,87,87,77,75,12,84,82,5,5,81,80,84,66,77,85,82,80,88,85,76,79,Marcelo,71,59,87,77,67,75,90,83,5,77,9,29,83
40,79,62,88,69,86,8,56,88,6,4,85,80,86,83,76,73,66,60,87,84,82,75,M. Hamšík,74,70,87,71,78,88,78,72,14,72,14,29,82
41,80,53,79,63,87,14,67,87,11,12,76,88,84,88,72,65,66,52,87,81,92,64,I. Rakitić,58,78,87,44,83,80,81,69,5,67,9,29,84
42,79,29,84,56,92,1,51,91,1,1,78,82,84,73,92,44,89,25,90,92,79,65,David Silva,54,73,87,66,71,81,83,43,1,72,1,31,71
43,12,13,83,71,41,87,25,36,86,69,41,12,18,19,42,10,36,17,24,62,34,57,S. Handanovič,10,23,87,78,10,12,12,22,87,54,87,32,22
44,57,86,84,83,62,10,72,81,11,14,66,58,59,51,58,87,42,86,78,86,80,73,Piqué,83,69,87,74,64,58,57,88,15,55,8,30,62
45,74,56,88,58,94,6,58,92,13,6,58,80,90,71,79,57,84,57,94,89,86,71,Iniesta,54,71,87,52,70,84,77,66,13,72,7,33,65
46,73,38,87,86,75,8,74,75,10,11,85,71,78,84,73,36,62,41,82,84,67,74,H. Kane,83,84,86,70,90,89,70,35,14,68,11,23,87
47,91,30,84,70,86,15,65,84,15,15,68,87,83,91,82,42,75,25,85,87,80,75,J. Rodríguez,62,81,86,54,82,80,88,55,5,77,14,25,86
