StandingTackle,Finishing,Composure,LongPassing,ShortPassing,SprintSpeed,HeadingAccuracy,Positioning,Aggression,Overall,LongShots,Marking,Jumping,GKHandling,Vision,Agility,GKReflexes,GKDiving,Balance,GKKicking,Dribbling,Age,Volleys,Strength,Stamina,Interceptions,Crossing,Penalties,BallControl,Acceleration,ShotPower,SlidingTackle,GKPositioning,Curve,Reactions,ID,RWB,RM,RS,LAM,CAM,RCM,LWB,LDM,CM,CDM,ST,RDM,CF,LF,LB,GK,RAM,RCB,LCB,CB,LS,LCM,RW,LM,LW,RF,RB
31.0,94.0,95.0,77.0,83.0,91.0,88.0,95.0,63.0,94.0,92.0,22.0,95.0,11.0,85.0,89.0,11.0,7.0,63.0,15.0,91.0,32.0,88.0,80.0,92.0,29.0,85.0,85.0,93.0,89.0,94.0,23.0,14.0,81.0,96.0,20801.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28.0,95.0,96.0,87.0,88.0,87.0,71.0,93.0,48.0,93.0,88.0,13.0,68.0,11.0,90.0,90.0,8.0,6.0,95.0,15.0,97.0,30.0,85.0,59.0,73.0,22.0,77.0,74.0,95.0,92.0,85.0,26.0,14.0,89.0,95.0,158023.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
45.0,94.0,83.0,64.0,83.0,77.0,77.0,92.0,78.0,92.0,86.0,30.0,69.0,25.0,84.0,86.0,37.0,27.0,60.0,31.0,86.0,30.0,88.0,80.0,89.0,41.0,77.0,85.0,91.0,88.0,87.0,38.0,33.0,86.0,93.0,176580.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10.0,13.0,70.0,59.0,55.0,61.0,25.0,12.0,29.0,92.0,16.0,10.0,78.0,90.0,70.0,52.0,89.0,91.0,35.0,95.0,30.0,31.0,11.0,83.0,44.0,30.0,15.0,47.0,48.0,58.0,25.0,11.0,91.0,14.0,85.0,167495.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
42.0,91.0,87.0,65.0,83.0,83.0,85.0,91.0,80.0,91.0,83.0,25.0,84.0,6.0,78.0,78.0,10.0,15.0,80.0,12.0,85.0,28.0,87.0,84.0,79.0,39.0,62.0,81.0,89.0,79.0,88.0,19.0,8.0,77.0,91.0,188545.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21.0,13.0,64.0,51.0,50.0,58.0,21.0,12.0,38.0,90.0,12.0,13.0,67.0,85.0,68.0,60.0,90.0,90.0,43.0,87.0,18.0,26.0,13.0,64.0,40.0,30.0,17.0,40.0,42.0,57.0,31.0,13.0,86.0,21.0,88.0,193080.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27.0,83.0,87.0,81.0,86.0,87.0,57.0,85.0,54.0,90.0,82.0,25.0,59.0,12.0,86.0,93.0,8.0,11.0,91.0,6.0,93.0,26.0,79.0,65.0,79.0,41.0,80.0,86.0,92.0,93.0,79.0,22.0,8.0,82.0,85.0,183277.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
82.0,76.0,85.0,93.0,90.0,52.0,54.0,79.0,60.0,90.0,90.0,63.0,32.0,11.0,88.0,71.0,10.0,10.0,69.0,13.0,79.0,27.0,82.0,74.0,77.0,85.0,85.0,73.0,89.0,60.0,87.0,69.0,7.0,85.0,86.0,182521.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22.0,91.0,86.0,59.0,75.0,80.0,86.0,92.0,50.0,90.0,82.0,12.0,79.0,12.0,70.0,75.0,10.0,5.0,69.0,7.0,84.0,29.0,88.0,85.0,72.0,20.0,68.0,70.0,85.0,78.0,88.0,18.0,5.0,74.0,88.0,167664.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
89.0,60.0,80.0,72.0,78.0,77.0,91.0,52.0,84.0,90.0,55.0,86.0,93.0,8.0,63.0,79.0,11.0,11.0,60.0,9.0,61.0,31.0,66.0,81.0,84.0,88.0,66.0,68.0,84.0,75.0,79.0,91.0,7.0,73.0,85.0,155862.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
51.0,83.0,84.0,84.0,90.0,75.0,53.0,84.0,68.0,89.0,86.0,30.0,65.0,13.0,90.0,80.0,13.0,15.0,75.0,5.0,85.0,26.0,82.0,73.0,87.0,56.0,90.0,77.0,87.0,76.0,85.0,40.0,10.0,83.0,88.0,192985.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18.0,14.0,52.0,31.0,32.0,52.0,13.0,13.0,23.0,89.0,17.0,11.0,68.0,91.0,44.0,61.0,88.0,85.0,45.0,69.0,13.0,25.0,12.0,70.0,38.0,15.0,14.0,27.0,23.0,46.0,36.0,16.0,86.0,19.0,81.0,192119.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
39.0,85.0,86.0,73.0,81.0,84.0,70.0,86.0,80.0,89.0,82.0,30.0,85.0,10.0,83.0,90.0,13.0,10.0,87.0,15.0,90.0,28.0,83.0,72.0,85.0,42.0,80.0,77.0,87.0,88.0,84.0,35.0,12.0,78.0,87.0,184941.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
80.0,71.0,84.0,83.0,92.0,71.0,55.0,79.0,62.0,89.0,82.0,66.0,67.0,9.0,90.0,93.0,9.0,13.0,94.0,7.0,86.0,31.0,74.0,58.0,82.0,76.0,78.0,80.0,92.0,75.0,73.0,73.0,14.0,79.0,88.0,177003.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
55.0,87.0,85.0,80.0,86.0,95.0,86.0,86.0,65.0,89.0,90.0,51.0,85.0,15.0,79.0,77.0,6.0,15.0,65.0,11.0,89.0,27.0,76.0,80.0,76.0,59.0,87.0,76.0,87.0,93.0,91.0,52.0,5.0,86.0,87.0,173731.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
20.0,90.0,90.0,63.0,79.0,84.0,68.0,91.0,63.0,89.0,83.0,13.0,80.0,15.0,83.0,86.0,14.0,13.0,91.0,6.0,89.0,29.0,85.0,74.0,74.0,24.0,70.0,83.0,89.0,90.0,88.0,12.0,11.0,82.0,89.0,153079.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
92.0,33.0,82.0,59.0,59.0,78.0,84.0,28.0,92.0,89.0,49.0,92.0,89.0,3.0,50.0,59.0,3.0,3.0,64.0,2.0,58.0,32.0,45.0,91.0,68.0,88.0,58.0,50.0,57.0,68.0,78.0,90.0,4.0,60.0,82.0,138956.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11.0,15.0,70.0,35.0,37.0,43.0,13.0,12.0,38.0,89.0,13.0,10.0,75.0,88.0,50.0,55.0,84.0,89.0,49.0,74.0,26.0,39.0,17.0,69.0,39.0,28.0,13.0,22.0,28.0,49.0,39.0,11.0,90.0,20.0,80.0,1179.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
