,Marking,Finishing,Aggression,GKPositioning,BallControl,SprintSpeed,GKDiving,Jumping,Penalties,Stamina,StandingTackle,Agility,HeadingAccuracy,Reactions,LongPassing,Strength,ShotPower,Vision,GKHandling,Age,Dribbling,Name,Volleys,LongShots,Positioning,SlidingTackle,Interceptions,Acceleration,Balance,ShortPassing,Composure,Crossing,GKKicking,Overall,GKReflexes,Curve,ID
0,33.0,95.0,48.0,14.0,96.0,86.0,6.0,68.0,75.0,72.0,28.0,91.0,70.0,95.0,87.0,59.0,85.0,94.0,11.0,31,97.0,L. Messi,86.0,94.0,94.0,26.0,22.0,91.0,95.0,90.0,96.0,84.0,15.0,94,8.0,93.0,158023
1,28.0,94.0,63.0,14.0,94.0,91.0,7.0,95.0,85.0,88.0,31.0,87.0,89.0,96.0,77.0,79.0,95.0,82.0,11.0,33,88.0,Cristiano Ronaldo,87.0,93.0,95.0,23.0,29.0,89.0,70.0,81.0,95.0,84.0,15.0,94,11.0,81.0,20801
3,15.0,13.0,38.0,88.0,42.0,58.0,90.0,67.0,40.0,43.0,21.0,60.0,21.0,90.0,51.0,64.0,31.0,68.0,85.0,27,18.0,De Gea,13.0,12.0,12.0,13.0,30.0,57.0,43.0,50.0,68.0,17.0,87.0,91,94.0,21.0,193080
4,68.0,82.0,76.0,10.0,91.0,76.0,15.0,63.0,79.0,90.0,58.0,79.0,55.0,91.0,91.0,75.0,91.0,94.0,13.0,27,86.0,K. De Bruyne,82.0,91.0,87.0,51.0,61.0,78.0,77.0,92.0,88.0,93.0,5.0,91,13.0,85.0,192985
5,34.0,84.0,54.0,8.0,94.0,88.0,11.0,56.0,86.0,83.0,27.0,95.0,61.0,90.0,83.0,66.0,82.0,89.0,12.0,27,95.0,E. Hazard,80.0,80.0,87.0,22.0,41.0,94.0,94.0,89.0,91.0,81.0,6.0,91,8.0,83.0,183277
6,60.0,72.0,62.0,14.0,93.0,72.0,13.0,68.0,82.0,89.0,76.0,93.0,55.0,90.0,88.0,58.0,79.0,92.0,9.0,32,90.0,L. Modrić,76.0,82.0,79.0,73.0,83.0,80.0,94.0,93.0,84.0,86.0,7.0,91,9.0,85.0,177003
7,62.0,93.0,87.0,33.0,90.0,75.0,27.0,69.0,85.0,90.0,45.0,82.0,77.0,92.0,64.0,83.0,86.0,84.0,25.0,31,87.0,L. Suárez,88.0,85.0,92.0,38.0,41.0,86.0,83.0,82.0,85.0,77.0,31.0,91,37.0,86.0,176580
8,87.0,60.0,88.0,7.0,84.0,75.0,11.0,93.0,75.0,84.0,92.0,78.0,91.0,85.0,77.0,83.0,79.0,63.0,8.0,32,63.0,Sergio Ramos,66.0,59.0,60.0,91.0,90.0,76.0,66.0,78.0,82.0,66.0,9.0,91,11.0,74.0,155862
9,27.0,11.0,34.0,88.0,16.0,60.0,86.0,76.0,11.0,41.0,12.0,67.0,15.0,86.0,26.0,78.0,22.0,70.0,92.0,25,12.0,J. Oblak,13.0,12.0,11.0,18.0,19.0,43.0,49.0,29.0,70.0,13.0,78.0,90,89.0,13.0,200389
10,34.0,91.0,80.0,8.0,89.0,78.0,15.0,84.0,88.0,78.0,42.0,78.0,85.0,90.0,65.0,84.0,88.0,77.0,6.0,29,85.0,R. Lewandowski,89.0,84.0,91.0,19.0,39.0,77.0,78.0,83.0,86.0,62.0,12.0,90,10.0,77.0,188545
11,72.0,76.0,60.0,7.0,90.0,62.0,10.0,30.0,73.0,75.0,79.0,70.0,54.0,89.0,93.0,73.0,87.0,86.0,11.0,28,81.0,T. Kroos,82.0,92.0,79.0,69.0,82.0,64.0,71.0,92.0,85.0,88.0,13.0,90,10.0,86.0,182521
12,90.0,42.0,89.0,5.0,76.0,68.0,6.0,91.0,50.0,66.0,89.0,58.0,92.0,85.0,70.0,88.0,67.0,52.0,8.0,32,53.0,D. Godín,47.0,43.0,48.0,89.0,88.0,68.0,54.0,79.0,82.0,55.0,15.0,90,15.0,49.0,182493
13,59.0,76.0,57.0,6.0,94.0,64.0,6.0,64.0,75.0,78.0,53.0,92.0,54.0,90.0,87.0,52.0,72.0,92.0,15.0,32,89.0,David Silva,82.0,75.0,89.0,29.0,50.0,70.0,90.0,93.0,93.0,84.0,7.0,90,12.0,82.0,168542
14,90.0,65.0,90.0,7.0,80.0,78.0,15.0,77.0,54.0,96.0,91.0,82.0,54.0,93.0,81.0,76.0,71.0,79.0,12.0,27,79.0,N. Kanté,56.0,69.0,71.0,85.0,92.0,82.0,92.0,86.0,85.0,68.0,10.0,89,10.0,49.0,215914
15,23.0,84.0,48.0,5.0,92.0,83.0,5.0,75.0,86.0,80.0,20.0,91.0,68.0,86.0,75.0,65.0,82.0,87.0,4.0,24,92.0,P. Dybala,88.0,88.0,84.0,20.0,32.0,87.0,85.0,87.0,84.0,82.0,4.0,89,8.0,88.0,211110
17,59.0,90.0,69.0,13.0,90.0,85.0,14.0,90.0,79.0,83.0,47.0,90.0,84.0,90.0,76.0,62.0,80.0,83.0,8.0,27,88.0,A. Griezmann,87.0,82.0,91.0,48.0,35.0,88.0,80.0,83.0,87.0,82.0,14.0,89,14.0,84.0,194765
18,25.0,14.0,43.0,85.0,18.0,50.0,87.0,79.0,25.0,35.0,13.0,37.0,11.0,85.0,42.0,79.0,22.0,69.0,85.0,26,17.0,M. ter Stegen,14.0,10.0,11.0,10.0,22.0,38.0,43.0,36.0,69.0,15.0,88.0,89,90.0,18.0,192448
19,20.0,14.0,23.0,86.0,23.0,52.0,85.0,68.0,27.0,38.0,18.0,61.0,13.0,84.0,35.0,70.0,36.0,44.0,91.0,26,13.0,T. Courtois,12.0,17.0,13.0,16.0,15.0,46.0,45.0,33.0,66.0,14.0,72.0,89,88.0,19.0,192119
20,90.0,67.0,85.0,9.0,88.0,52.0,5.0,66.0,60.0,86.0,86.0,66.0,68.0,87.0,82.0,77.0,61.0,87.0,8.0,29,80.0,Sergio Busquets,44.0,54.0,77.0,80.0,87.0,50.0,52.0,89.0,90.0,62.0,13.0,89,13.0,66.0,189511
21,52.0,89.0,84.0,13.0,82.0,76.0,12.0,88.0,85.0,92.0,45.0,77.0,89.0,91.0,52.0,78.0,87.0,77.0,5.0,31,80.0,E. Cavani,90.0,79.0,93.0,39.0,48.0,75.0,59.0,78.0,82.0,70.0,13.0,89,10.0,77.0,179813
